variant,seed,checkpoint,score_main,tstr_macro_f1,disc_auc_gap,unconditional_w1,conditional_w1,train_seconds,eval_seconds
baseline_fm,0,1000,0.37054664535378823,0.32475551511098516,0.1552858217392931,0.20748463379356705,0.591426817172073,81.3341372013092,52.57727932929993
baseline_fm,0,2000,0.37504250969153397,0.2767844725551316,0.17085329084175782,0.24253821969855474,0.47779043186580283,163.85291051864624,53.97855257987976
baseline_fm,0,4000,0.3603161347223187,0.2973197541724281,0.13752996942618037,0.22458841780123986,0.4912864632477633,274.2528600692749,53.462071657180786
baseline_fm,0,8000,0.3495560978468443,0.31590762366804614,0.13574770289160354,0.2062902679312859,0.48057972958036554,441.6258406639099,53.51957440376282
baseline_fm,0,12000,0.3453976135043453,0.34311759581288787,0.1237612687773008,0.24281218981082855,0.4714714614640166,609.144877910614,53.51217532157898
baseline_fm,0,16000,0.33426318982416287,0.331292051972596,0.0949500868056683,0.20339571308929805,0.47607490611147196,777.8378825187683,53.5045382976532
baseline_fm,0,20000,0.36126294175264356,0.29030586535729175,0.16384091967143052,0.22279993698770742,0.4486502037434796,950.0389773845673,53.51935052871704
baseline_fm,1,1000,0.3803159963480022,0.2945264413107635,0.16449183835519657,0.20684133715743083,0.5912302009029075,82.39268040657043,53.603318214416504
baseline_fm,1,2000,0.3665097575198633,0.2917636060991882,0.15801941750481194,0.20175705100259453,0.5185187693671979,164.72055649757385,53.628220081329346
baseline_fm,1,4000,0.40239972680716996,0.25309561582090084,0.18290910025349602,0.2693481865902117,0.5571389787264954,275.69356060028076,53.648460149765015
baseline_fm,1,8000,0.36668237917327384,0.28794240575395497,0.15066679856990617,0.22043321411093972,0.5014857361564804,443.76260328292847,53.67245697975159
baseline_fm,1,12000,0.3754980002480322,0.2887767298679138,0.16237644548567723,0.23817442836754874,0.514869446416786,612.1536207199097,53.7000732421875
baseline_fm,1,16000,0.36592020746923826,0.3256444959631391,0.14590417055966734,0.26968044790785634,0.49938925594972067,781.5415713787079,53.70786118507385
baseline_fm,1,20000,0.34161048218211637,0.28951577320388083,0.10923881869464969,0.1944095625479725,0.44776149946611216,954.4866859912872,53.65035915374756
baseline_fm,2,1000,0.38492929362012845,0.313905696731514,0.14950254025449494,0.24208162729409424,0.6313386205983289,81.7725818157196,53.580946922302246
baseline_fm,2,2000,0.35324933220995564,0.3251274234088238,0.14138034319436854,0.2138127208434929,0.49722867132054094,163.34483885765076,53.555335998535156
baseline_fm,2,4000,0.3656415573592659,0.277233714542041,0.17092473543917006,0.19211826510524957,0.48384927743887635,272.9258334636688,53.53907799720764
baseline_fm,2,8000,0.36509742794234185,0.31596995588734994,0.18723168077724842,0.21332879950830952,0.48981964754738433,438.30851674079895,53.54296159744263
baseline_fm,2,12000,0.36929228273097564,0.2797497125218264,0.15435811298798863,0.23075697668774545,0.485564027970047,604.3771753311157,53.56384253501892
baseline_fm,2,16000,0.39905607760800893,0.2541569887044181,0.1826000513871119,0.27133265911473226,0.5350868383780893,771.4365093708038,53.59640383720398
baseline_fm,2,20000,0.3615298257128461,0.31236737059111713,0.1379549659830325,0.23773878442918403,0.5032046772430666,941.8564159870148,53.53813695907593
local_causal_ot,0,1000,0.36456260859997375,0.3182819452124885,0.13895311852050654,0.19413739563669238,0.5861250751588202,238.2258062362671,53.59680914878845
