section,dataset,variant,metric,mean,std,n,n_valid
speed,cryptos,speed,c_l1,2983.2664445765727,2225.3797252353947,5,5
speed,cryptos,speed,spread_specific_error,3019.528256459147,1921.138447045013,5,5
speed,cryptos,speed,imbalance_specific_error,4.449904588691197,1.2589662209408328,5,5
speed,cryptos,speed,ret_vol_acf_error,0.1434529881698999,0.016663905676871205,5,5
speed,cryptos,speed,impact_response_error,11061.656632802202,5936.251641879544,5,5
speed,cryptos,speed,efficiency_ms_per_sample,2614.83636872222,34.396696762207554,5,5
speed,es_mbp_10,speed,score_main,0.45886721087318316,0.008335107293870098,5,5
speed,es_mbp_10,speed,tstr_macro_f1,0.3265461673625064,0.012190090355790533,5,5
speed,es_mbp_10,speed,disc_auc_gap,0.49730512790600273,0.001345934057165649,5,5
speed,es_mbp_10,speed,unconditional_w1,0.3765803461455362,0.024311729459043672,5,5
speed,es_mbp_10,speed,conditional_w1,0.4140685492416238,0.020145596550709015,5,5
speed,es_mbp_10,speed,u_l1,1.0011648148148147,0.05537617782005948,5,5
speed,es_mbp_10,speed,c_l1,37.80164353201993,73.43211436524244,5,5
speed,es_mbp_10,speed,spread_specific_error,147.6605367554007,293.7984037965992,5,5
speed,es_mbp_10,speed,imbalance_specific_error,1.165672657542863,0.1030082882703116,5,5
speed,es_mbp_10,speed,ret_vol_acf_error,0.14668819813474093,0.004701743559443437,5,5
speed,es_mbp_10,speed,impact_response_error,1.2803355589748853,0.18356510537549908,5,5
speed,es_mbp_10,speed,efficiency_ms_per_sample,2518.5714864692027,42.248354391070094,5,5
architecture,synthetic,transformer,score_main,0.3706572402373188,0.005665551417870419,5,5
architecture,synthetic,transformer,tstr_macro_f1,0.4288165948594956,0.013091806425370715,5,5
architecture,synthetic,transformer,disc_auc_gap,0.40477539154804365,0.0070716250171362965,5,5
architecture,synthetic,transformer,unconditional_w1,0.23804936950497485,0.02157336871051098,5,5
architecture,synthetic,transformer,conditional_w1,0.34210192186372895,0.014887358462152344,5,5
architecture,synthetic,transformer,u_l1,0.41728244357638894,0.027412221981379777,5,5
architecture,synthetic,transformer,c_l1,97.59736662783936,120.79265776876646,5,5
architecture,synthetic,transformer,spread_specific_error,386.0450793689608,483.11947179860925,5,5
architecture,synthetic,transformer,imbalance_specific_error,1.4231403808392666,0.07320198551818019,5,5
architecture,synthetic,transformer,ret_vol_acf_error,0.25915399979349235,0.012152191441831826,5,5
architecture,synthetic,transformer,impact_response_error,2.318285953709989,0.8110674378902363,5,5
architecture,synthetic,transformer,efficiency_ms_per_sample,2544.0755385488346,60.68114647950128,5,5
architecture,synthetic,hybrid,score_main,0.3734457774932093,0.020957551350440223,5,5
architecture,synthetic,hybrid,tstr_macro_f1,0.42893254083966126,0.01455431490590493,5,5
architecture,synthetic,hybrid,disc_auc_gap,0.40601430643557607,0.01736284703008831,5,5
architecture,synthetic,hybrid,unconditional_w1,0.2508003863832053,0.048349619129157764,5,5
architecture,synthetic,hybrid,conditional_w1,0.3433900770164032,0.04255723180519029,5,5
architecture,synthetic,hybrid,u_l1,0.4497395833333333,0.08276077403802345,5,5
architecture,synthetic,hybrid,c_l1,179.3149273828075,169.54440471270536,5,5
architecture,synthetic,hybrid,spread_specific_error,712.8527647284143,677.804012428118,5,5
architecture,synthetic,hybrid,imbalance_specific_error,1.3537530590376712,0.09822507443475771,5,5
architecture,synthetic,hybrid,ret_vol_acf_error,0.2613689129360973,0.011736379023099265,5,5
architecture,synthetic,hybrid,impact_response_error,1.652233331202737,0.045574760087833045,5,5
architecture,synthetic,hybrid,efficiency_ms_per_sample,2679.3506454278636,75.7155135611272,5,5
architecture,optiver,transformer,score_main,0.3626552611739337,0.00755846836622446,5,5
architecture,optiver,transformer,tstr_macro_f1,0.30619394947228956,0.017780185961421596,5,5
architecture,optiver,transformer,disc_auc_gap,0.16033599576840907,0.010982902662622763,5,5
architecture,optiver,transformer,unconditional_w1,0.22447599874157503,0.018042745146447874,5,5
architecture,optiver,transformer,conditional_w1,0.4846108981449316,0.02140082802037109,5,5
architecture,optiver,transformer,u_l1,0.4428009259259259,0.026047005625553447,5,5
architecture,optiver,transformer,c_l1,2.6809384620526466,1.0467619022406687,5,5
architecture,optiver,transformer,spread_specific_error,4.750939849467784,3.3880513879546483,5,5
