variant,seed,checkpoint,score_main,tstr_macro_f1,disc_auc_gap,unconditional_w1,conditional_w1,train_seconds,eval_seconds
baseline_fm,0,1000,0.5544173940728411,0.19958130381304387,0.4991087354593832,0.5314685783854759,0.6357314406797455,192.6783196926117,158.2033188343048
baseline_fm,0,2000,0.48037436967166736,0.3049907158232008,0.49933848799459946,0.4064141924379825,0.4715946651347879,385.17358922958374,158.2858636379242
baseline_fm,0,4000,0.4842232834452986,0.3137021571255518,0.4991490731089261,0.4413140066292964,0.47181479013194166,612.0746285915375,158.42124843597412
baseline_fm,0,8000,0.4736780512414395,0.3045108047217768,0.4956569028240339,0.41050263571771434,0.4334358802817848,906.1917102336884,158.44157004356384
baseline_fm,0,12000,0.4612981554302494,0.3153580705586339,0.4973154169214,0.3778562065665476,0.40940571357743244,1199.9408178329468,158.416912317276
baseline_fm,0,16000,0.45910314576742123,0.3428686105876098,0.4947552741662455,0.39260329633605506,0.42574667702888486,1483.728989124298,147.58247542381287
baseline_fm,0,20000,0.46827229094220635,0.3094051693185604,0.49341562381394555,0.3941627915605877,0.42955572647128043,1768.850117444992,147.42825651168823
baseline_fm,1,1000,0.526616352357637,0.2818278720464649,0.4998278837697951,0.5009884526447616,0.6200810158783834,184.57574439048767,151.116393327713
baseline_fm,1,2000,0.4907122351912618,0.2981781733572242,0.49913554991321396,0.43479423593349925,0.4938374031196983,369.2412371635437,151.0424246788025
baseline_fm,1,4000,0.4583226405188759,0.3301049543108659,0.4994896002652747,0.3801572892768581,0.4078827897521993,583.3506627082825,147.35682654380798
baseline_fm,1,8000,0.4497866731605919,0.3392216363528136,0.4984975395076415,0.35998809965974754,0.3947444029145859,863.8561294078827,147.37284326553345
baseline_fm,1,12000,0.4829078664655501,0.32195934603870985,0.4929535391222197,0.4365148010970969,0.4930316479973187,1144.209988117218,147.29199123382568
baseline_fm,1,16000,0.46168090791128374,0.3214381780714793,0.4973400240699206,0.3685356484707727,0.4307034032611759,1425.829041481018,147.1842818260193
baseline_fm,1,20000,0.4763024884054554,0.28116091743524946,0.4956849687118889,0.3969786193972322,0.4299900153638531,1710.956812620163,147.55051040649414
baseline_fm,2,1000,0.5615801436733924,0.23992684233379,0.4984492388906423,0.5959060234051728,0.6828268050623185,180.74335741996765,147.41627883911133
baseline_fm,2,2000,0.4879493658632023,0.288488553361807,0.49993561073082143,0.4296155255519714,0.46763904167985576,361.5463435649872,147.50215363502502
baseline_fm,2,4000,0.47417969302850027,0.3078036268513233,0.4990298442030851,0.40991684762910124,0.43681859426715297,575.518440246582,147.47985315322876
baseline_fm,2,8000,0.4660420795187215,0.31332802942816973,0.4985826071755955,0.38858935450875814,0.4201944574569804,856.2791266441345,147.5223367214203
baseline_fm,2,12000,0.45944779047462375,0.34014715528006545,0.49266400654531345,0.38714188314471804,0.4309579293603602,1137.245258808136,147.5820860862732
baseline_fm,2,16000,0.4485868227646124,0.36267877664520803,0.49365664243557034,0.37452029615593424,0.4137591316254368,1419.619440317154,147.61460614204407
baseline_fm,2,20000,0.46266200784264927,0.3211419884932669,0.49493252347994293,0.38527939797063965,0.4225200634915683,1704.8568410873413,147.49085330963135
local_causal_ot,0,1000,0.558403652116614,0.1824698853218403,0.49955656286896283,0.533672120989403,0.6307107265088713,360.2378304004669,148.9480185508728
local_causal_ot,0,2000,0.4890963921271578,0.31164710046837807,0.4997761114402392,0.44124401516789874,0.496102988842493,719.9303634166718,148.78077006340027
local_causal_ot,0,4000,0.47051366034444025,0.33204647217151817,0.49179413184537313,0.41944792928527513,0.45094583860493903,1290.894695520401,148.98329377174377
local_causal_ot,0,8000,0.48128116320909564,0.3228544405748781,0.4965112338065276,0.44839812845621885,0.46461309705021897,2283.6131348609924,148.84190845489502
